department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won,avg_training_score,is_promoted
0,17,2,1,0,1,33,4.226200769,7,1,0,95,1
8,14,0,0,0,1,29,3,3,0,0,82,0
4,31,2,0,0,1,36,4,7,1,0,62,0
7,24,0,0,0,1,28,4,3,0,0,48,0
4,14,2,0,2,1,35,4.138125672,7,1,0,63,1
4,31,0,0,2,1,33,4.706992714,7,1,0,60,1
8,13,0,1,0,1,53,3,7,0,0,84,0
5,16,2,0,2,1,41,4.318602435,8,1,0,68,1
8,11,2,1,0,2,34,2,8,0,0,85,0
7,11,2,1,0,4,34,3,9,0,0,48,0
7,6,2,1,0,1,34,3,2,0,0,53,0
8,17,0,1,2,3,31,4.317241901,5,0,0,92,1
7,20,0,1,2,1,35,5,2,0,0,93,1
4,4,0,0,0,1,39,5,9,1,0,96,1
4,6,0,0,2,1,30,4,5,1,0,58,0
7,11,0,0,0,1,33,3,9,1,0,45,0
0,14,0,1,2,1,27,3.352137835,2,1,0,81,1
0,14,0,1,2,1,27,4,4,0,0,85,0
4,11,0,1,0,2,28,3,4,0,0,58,0
2,11,1,1,2,1,35,4.837848799,8,1,0,47,1
7,31,2,0,0,1,31,5,2,1,0,49,0
0,18,2,1,0,1,34,3.677962044,7,1,0,83,1
5,15,2,0,0,1,34,3,8,0,0,67,0
7,11,0,0,0,2,26,4,3,0,0,50,0
4,31,2,1,0,1,37,5,6,1,0,58,1
7,4,0,1,1,1,30,3.76241523,6,0,0,92,1
7,18,2,1,0,1,38,3.3612491,6,1,0,81,1
1,4,0,1,2,1,24,5,3,1,0,62,1
8,4,0,0,0,1,30,3.163345989,3,1,0,80,1
4,18,0,1,2,1,28,2,8,1,0,58,0
7,28,2,1,1,1,55,4,6,1,0,45,1
4,14,0,0,0,1,33,5,6,0,0,74,1
2,11,0,0,0,1,39,3,12,0,0,48,0
1,21,0,1,0,1,26,3,2,1,0,61,0
7,12,2,1,0,1,40,5,5,0,1,95,1
0,30,0,0,0,1,32,4,4,0,0,85,0
7,6,0,1,2,2,35,2,5,0,0,49,0
7,18,0,1,2,1,54,5,5,1,0,47,0
0,24,0,1,0,3,28,3,2,0,0,84,0
8,11,2,1,0,1,41,3,3,0,0,79,0
1,19,0,1,0,1,36,3,7,1,0,60,0
4,14,0,0,0,1,27,3,4,0,0,58,0
6,0,2,1,2,1,33,3,2,0,0,61,1
0,4,0,1,2,2,30,1,3,0,0,79,0
6,20,2,1,0,1,37,4.726048293,10,1,0,92,1
0,14,2,1,2,1,33,1,8,0,0,81,0
7,31,1,0,0,2,40,3.384787511,10,0,0,62,1
4,15,0,0,0,1,28,5,4,1,0,56,1
2,14,2,0,0,1,33,5,7,0,0,61,1
0,13,0,1,2,1,30,5,4,1,0,87,0
7,24,0,1,0,1,48,4,19,0,0,53,0
7,18,0,1,2,1,38,2,5,0,0,46,0
4,5,0,0,1,1,38,5,10,1,0,60,1
7,11,0,0,1,1,36,3.144851504,3,1,0,51,1
0,14,0,0,0,1,27,3.18115135,4,0,0,83,1
7,14,0,1,1,1,28,3,2,1,0,50,1
8,6,0,0,0,2,30,5,4,1,0,81,0
7,14,0,1,0,1,29,3,4,0,0,58,1
5,11,2,0,0,1,59,2,6,0,0,68,0
4,14,0,1,0,1,32,4.340921396,4,1,0,57,1
5,11,0,1,2,1,54,5,22,1,0,70,0
5,6,0,1,0,1,37,5,10,1,0,67,1
7,11,0,0,1,1,39,4.477010535,8,0,0,65,1
8,13,2,1,0,1,42,3,8,0,0,81,0
5,11,0,0,0,1,50,5,5,0,0,90,1
5,11,0,0,0,1,51,3,11,1,1,96,1
8,24,2,0,2,2,31,5,3,1,0,80,1
7,11,2,1,0,1,55,4,2,1,0,46,0
8,24,2,1,0,2,32,3,2,0,0,83,0
4,31,0,0,0,1,39,5,3,1,0,65,0
7,24,0,0,2,1,29,2,7,0,0,45,0
8,11,0,0,0,1,36,1.540926698,11,1,0,77,1
4,11,2,0,0,1,58,5,7,0,0,69,1
7,31,0,0,0,1,28,5,3,0,0,92,1
7,1,0,1,2,1,35,3,9,0,0,48,0
6,31,0,1,1,1,32,4.067357339,7,0,0,64,1
7,20,2,0,2,1,37,3,7,0,0,48,0
1,30,0,0,0,1,31,3,4,1,0,61,1
4,14,2,1,2,1,42,3,12,1,0,60,0
0,14,0,1,0,1,31,3,6,0,0,83,1
8,31,0,1,0,1,31,3,6,0,0,79,0
1,14,0,0,0,2,27,5,2,1,0,60,0
4,11,2,0,0,1,56,3,14,0,0,70,1
4,4,0,1,0,1,33,3.51532044,7,1,0,57,1
7,15,1,1,0,1,43,4,7,1,0,61,1
4,18,0,1,0,2,25,3,4,0,0,61,0
0,15,0,1,2,3,30,3,4,0,0,85,0
5,11,0,0,1,1,31,3,5,0,0,80,1
2,11,0,0,0,1,36,4.0303765,3,1,0,52,1
7,11,0,1,2,2,48,1,17,0,0,44,0
6,19,0,0,1,1,39,4.887319136,4,0,0,67,1
4,11,2,0,2,1,39,3,7,1,0,59,0
5,31,2,1,0,1,43,5,3,1,0,75,0
0,15,1,1,0,2,32,4,6,0,0,91,1
8,18,0,0,0,1,26,4.812442366,3,1,0,84,1
0,11,0,0,0,1,27,4.486102416,5,1,0,88,1
4,4,2,0,2,1,41,4,6,1,0,62,0
7,27,0,1,0,2,27,3,3,0,0,46,0
0,17,0,1,0,1,29,3.363054872,1,1,0,81,1
8,15,2,1,0,1,42,4.250600395,11,1,0,87,1
5,11,2,0,2,1,36,4,5,1,0,62,0
7,31,2,1,2,1,34,5,3,0,0,54,0
0,11,0,1,1,1,42,4.07172613,12,0,0,81,1
1,24,0,1,0,1,38,3,3,1,0,58,0
4,5,0,1,2,1,34,4.04445971,5,0,0,69,1
4,11,2,0,2,1,20,3,2,0,0,57,0
4,11,2,0,0,1,35,2.555943963,6,0,0,69,1
5,8,1,0,2,1,39,4.379752892,4,1,0,67,1
4,14,0,0,0,1,33,5,5,0,0,74,1
2,17,0,0,0,1,28,2,2,1,0,52,1
7,11,0,0,0,1,40,3.535368442,10,1,0,47,1
8,31,0,0,0,1,31,2,7,0,0,77,0
7,4,0,1,2,1,33,2,6,0,0,57,0
3,12,1,0,0,1,46,5,15,1,0,51,1
4,31,2,1,2,1,40,3,10,0,0,58,0
8,14,2,1,0,1,38,1,5,0,0,79,0
7,14,2,1,2,2,33,1,7,0,0,47,0
4,14,0,0,1,1,29,2.470494217,3,1,0,55,1
4,10,0,0,0,1,43,4.598261688,13,1,0,61,1
5,4,0,0,0,1,32,4.490986614,4,0,0,83,1
4,4,2,0,0,1,35,4.904464268,8,1,0,89,1
8,23,0,0,0,2,27,4,4,1,0,78,1
8,11,0,1,0,1,42,4,7,0,0,83,0
4,14,2,0,2,1,35,3.567863357,8,0,0,72,1
4,11,0,1,0,1,41,1,12,0,0,57,0
4,11,0,0,0,2,34,4.49308925,6,1,0,56,1
7,2,2,1,0,1,43,3,12,0,0,52,0
7,28,2,0,2,1,34,3,9,1,0,45,0
7,29,2,1,2,1,46,3,4,0,0,63,1
7,31,2,1,0,1,39,3,7,1,0,47,0
2,23,0,1,2,1,30,1.995691481,5,0,0,86,1
2,6,0,1,0,1,35,3.44770501,10,1,1,94,1
5,26,0,1,0,1,31,5,4,0,0,67,0
7,4,0,1,2,1,37,4,7,0,0,44,0
8,11,2,0,0,1,49,3,18,0,0,82,0
2,1,0,1,0,1,30,5,5,1,0,51,0
5,11,2,1,2,1,49,2,17,0,0,76,0
4,28,2,1,0,1,31,4,2,0,0,60,0
5,31,2,0,0,1,34,3,4,1,0,67,1
2,11,0,1,2,1,51,1,5,0,0,50,0
3,11,1,1,0,1,28,4,2,1,0,62,0
0,31,2,1,1,1,35,5,8,1,0,86,1
7,11,1,1,0,1,43,4.919336739,9,1,0,49,1
7,7,0,1,0,1,27,1,2,0,0,50,0
4,26,0,0,0,1,27,5,4,1,0,56,1
4,2,2,0,0,1,36,1,2,0,0,61,0
7,11,1,1,0,1,41,3.529574884,4,1,0,45,1
2,11,1,0,2,1,35,3,8,1,0,50,1
6,12,2,1,1,1,53,5,4,1,0,73,1
7,31,0,1,0,1,29,5,2,1,0,54,1
7,14,0,1,2,1,28,5,2,0,0,54,0
4,21,0,1,0,1,34,5,4,0,0,57,0
7,19,1,1,0,1,41,4.309625625,17,0,0,56,1
4,11,2,0,0,1,50,4,16,0,0,57,0
4,14,2,1,0,1,54,3.132825513,17,0,0,74,1
7,4,2,1,0,1,42,4,15,1,0,48,0
7,11,0,0,1,1,38,3,3,1,0,51,1
7,28,0,1,0,1,46,5,12,1,0,50,0
2,6,0,1,2,1,39,3,3,0,0,49,0
8,26,0,1,0,1,40,3,6,0,0,81,0
1,24,0,1,2,4,24,3,2,1,0,64,1
0,24,0,1,2,1,26,3,3,0,0,87,0
4,11,2,1,2,1,32,1,6,0,0,57,0
7,31,0,1,0,1,40,5,8,1,0,54,0
7,7,2,1,2,1,42,3,10,0,0,49,0
7,31,0,1,2,1,33,5,8,0,0,48,0
8,30,0,0,0,1,31,4,5,0,0,90,1
1,12,0,0,0,1,29,5,2,1,0,57,1
8,1,2,1,0,1,34,5,6,0,0,81,1
5,15,2,0,2,1,34,3,7,0,0,70,0
8,24,0,0,0,1,28,4,3,0,0,88,1
4,18,1,0,0,1,42,3,11,0,0,99,1
7,24,0,0,2,1,31,4,6,0,0,46,0
8,11,1,0,0,3,25,3,2,0,0,84,0
0,14,0,1,0,1,28,3.64054123,2,1,0,87,1
5,13,0,0,0,1,40,4,11,0,0,69,0
1,11,1,1,1,1,41,4.869976139,4,0,0,62,1
8,6,0,1,0,1,35,3,8,0,0,76,0
4,11,2,0,2,1,41,3,14,0,0,61,0
7,3,0,1,2,1,29,3,5,0,1,86,1
5,14,0,1,0,1,28,3,2,0,0,65,0
0,31,2,1,0,1,39,5,11,1,0,85,0
2,15,2,1,2,1,37,1,11,0,0,47,0
7,30,0,0,0,1,43,5,10,1,0,47,1
5,20,2,0,2,1,35,3.786091952,4,1,0,65,1
7,28,2,1,2,1,48,3,5,1,0,46,0
7,15,2,1,0,2,44,4,6,1,0,61,1
4,16,0,0,0,1,29,5,3,1,0,55,1
8,4,2,0,2,1,33,4,5,1,0,79,0
7,17,0,1,0,1,32,4.474258771,7,0,0,61,1
8,19,0,1,0,1,25,3,3,1,0,79,1
7,24,0,1,0,1,38,3,9,1,0,49,0
7,11,2,1,2,2,53,1,18,0,0,48,0
5,14,2,1,2,1,36,3,10,0,0,71,0
4,6,0,1,0,1,43,4,14,1,0,64,0
7,14,2,1,2,1,32,3.828985005,3,1,0,82,1
5,7,2,1,2,1,36,5,10,1,0,68,0
5,17,2,1,0,1,40,5,12,1,0,71,1
8,14,0,0,0,1,29,3.291927148,2,0,0,82,1
2,28,0,1,2,1,27,3,4,1,0,52,1
4,11,2,0,0,1,53,5,21,0,0,59,0
5,7,0,1,2,1,36,4,10,1,0,67,1
4,28,0,0,0,1,35,5,2,0,0,68,1
5,11,0,0,0,1,42,4,11,1,0,70,0
7,30,1,1,2,1,32,3.856688844,7,0,0,59,1
7,31,0,1,2,1,40,1,3,0,0,47,0
7,24,0,1,2,2,25,3,2,0,0,50,0
4,11,0,1,0,1,58,3,2,1,0,62,0
7,6,0,1,0,1,40,5,3,1,0,48,1
4,31,0,1,0,2,31,5,2,1,0,60,0
5,20,2,1,0,1,31,5,5,1,0,74,0
3,14,0,0,0,1,32,3,4,1,0,58,1
8,18,0,1,0,1,25,3,2,0,0,91,1
6,14,0,1,2,1,26,3,2,1,0,85,0
8,14,0,1,0,1,27,4,4,1,0,94,1
4,3,2,1,0,1,53,4.502821357,13,0,0,62,1
8,2,2,0,0,2,31,3,8,0,0,83,0
7,31,0,1,2,1,27,3,4,1,0,47,0
4,14,1,1,0,3,26,3,2,1,0,58,0
5,23,0,0,2,1,27,1,4,0,0,73,0
8,7,0,1,2,1,34,3,9,0,0,81,0
2,19,2,1,0,1,41,3,8,0,0,52,0
5,6,0,1,0,1,33,4,10,1,0,69,0
0,14,0,1,0,1,27,4.292946695,2,0,0,80,1
8,20,2,1,0,1,32,2,3,0,0,76,0
7,25,0,1,0,1,31,4,3,0,0,49,0
7,29,0,0,2,1,31,3,3,0,0,52,0
4,1,0,0,1,1,35,3.010257805,9,0,0,71,1
7,14,0,1,2,1,34,4.080533481,6,1,0,43,1
0,11,2,1,0,1,39,5,7,1,0,84,0
1,31,0,1,2,1,29,3,3,0,0,57,0
8,18,0,1,2,2,29,4,3,0,0,78,0
7,31,2,0,0,1,36,4,3,1,0,49,1
8,11,0,1,0,1,57,3,15,0,0,77,0
4,11,0,0,2,1,50,4.415109041,21,1,0,58,1
0,14,0,1,0,2,37,4.896282933,2,1,0,86,1
2,11,0,0,2,1,34,4.284114893,9,1,0,49,1
4,14,2,1,0,1,45,3,5,0,0,61,0
5,11,2,1,2,1,36,3,8,0,0,71,0
7,14,0,1,0,1,26,3,2,1,0,89,1
7,20,0,1,0,1,33,5,6,1,0,49,0
4,5,0,1,2,1,34,5,9,1,0,56,1
7,28,2,1,0,1,51,3,19,0,0,59,1
4,24,0,0,2,1,35,5,4,1,0,58,1
5,12,0,1,0,2,27,3,4,0,0,63,0
4,4,2,1,2,1,31,1,2,0,0,57,0
0,31,0,1,0,1,33,3.580725142,6,1,0,82,1
4,31,2,1,2,1,46,3,19,0,0,59,0
7,14,2,0,2,1,29,1,6,0,0,52,0
4,11,0,0,0,1,28,4,3,0,0,61,0
5,31,0,1,0,1,40,1,3,0,0,75,0
0,14,0,0,2,1,30,5,3,1,0,83,1
7,14,0,1,2,1,38,2,4,1,0,47,0
7,10,0,1,2,1,34,3,7,0,0,50,0
7,11,2,0,0,1,30,4,7,0,0,50,0
7,28,0,0,2,1,43,5,4,1,0,50,0
0,21,0,1,2,1,30,4,9,0,0,86,1
5,10,0,1,2,1,38,3,7,0,0,93,1
7,14,2,1,0,1,48,3,18,0,0,52,0
6,31,0,1,2,1,32,3,6,0,0,65,1
3,15,0,0,0,1,31,5,4,1,0,60,1
4,18,0,0,2,1,31,4,8,1,0,56,0
8,11,0,1,1,2,30,4,3,0,0,82,0
8,2,1,1,0,1,36,3.888353026,3,0,0,82,1
7,11,2,1,0,4,38,4,7,0,0,54,0
2,11,0,0,2,1,35,3,7,1,0,50,1
7,28,1,1,0,1,47,5,3,0,0,88,1
8,20,2,1,1,1,35,3.077800434,8,1,0,78,1
5,5,0,1,2,1,32,4,7,1,0,72,0
3,29,0,1,2,1,32,3,5,0,0,64,0
3,18,0,1,2,1,31,5,6,1,0,57,1
8,8,0,0,0,1,29,4.586126092,2,0,0,88,1
0,22,0,0,0,1,29,5,3,1,0,86,1
4,5,0,0,0,1,32,1,7,1,0,58,0
7,14,0,1,1,2,25,4,4,0,0,60,1
4,14,0,0,2,1,28,5,3,1,0,59,1
7,7,0,1,2,1,34,4,3,0,0,52,0
0,14,0,1,0,1,27,5,2,1,0,82,1
0,2,0,1,2,1,38,3,7,1,0,84,0
4,6,0,0,0,1,35,5,5,0,0,76,1
4,22,0,0,0,1,33,3.644784039,7,1,0,86,1
5,14,0,0,0,2,25,3,4,0,0,67,0
8,7,0,0,0,1,29,3.763212801,1,1,0,78,1
4,28,1,0,1,1,44,3,5,0,0,66,1
5,6,2,0,0,1,34,3,7,1,0,71,1
0,14,0,0,0,1,29,5,6,0,0,85,1
8,31,2,0,2,1,39,3,8,0,0,82,0
7,11,2,0,0,2,32,2,9,0,0,49,0
0,14,0,0,2,1,26,3.727170132,2,0,0,87,1
7,15,2,1,2,1,40,4.748073684,4,0,0,95,1
2,11,0,0,2,1,43,2,13,0,0,50,0
8,8,0,0,2,1,29,5,4,1,1,86,1
8,11,0,1,0,1,33,4,6,0,0,75,0
0,14,0,1,0,1,25,3,2,0,0,89,0
0,24,0,1,0,1,33,4,5,1,0,84,0
7,14,0,1,0,1,34,5,7,1,0,53,1
0,14,0,1,0,1,28,5,8,0,0,87,1
0,31,2,1,2,1,35,4,5,0,0,86,0
4,14,2,0,2,1,33,4,4,0,0,62,0
1,28,0,0,2,1,29,2,5,0,0,62,0
8,11,0,0,0,1,46,4,10,0,0,84,0
5,31,0,1,0,1,37,3,11,0,0,66,0
2,31,0,1,0,1,36,4,4,0,0,50,0
1,5,0,1,0,1,24,5,2,0,0,59,1
6,28,0,0,0,1,42,4.091448508,10,1,0,97,1
5,11,1,0,0,1,41,5,6,0,0,88,1
7,17,2,1,0,1,34,4.734321083,7,1,0,51,1
8,29,0,0,0,1,30,3.535787567,1,0,0,82,1
8,7,0,1,2,1,30,4,8,1,0,77,0
5,10,2,1,2,1,38,2,4,1,0,73,0
7,31,0,1,0,1,35,5,3,1,1,45,1
7,20,2,1,2,1,35,5,2,1,0,44,1
5,11,0,0,2,1,39,3,12,0,0,83,1
7,11,0,1,1,1,25,5,2,1,0,51,1
6,14,0,1,0,1,28,3,2,1,0,86,0
0,20,1,1,0,2,38,5,9,0,0,83,1
2,25,0,1,2,1,30,4,3,1,0,55,0
0,14,0,0,2,1,28,3,3,1,0,83,1
5,31,2,1,2,1,34,1.892392387,4,0,0,94,1
2,13,0,0,0,1,28,2.610468522,2,1,0,51,1
5,7,0,0,2,1,32,4.814661007,5,1,0,68,1
4,11,2,1,0,1,58,4,26,1,0,60,0
7,11,0,1,0,1,35,4,7,1,0,47,0
7,1,2,1,0,1,45,5,5,0,0,49,0
7,11,2,0,2,1,39,3.259059008,2,1,0,48,1
7,31,0,0,2,1,29,1,3,1,0,51,0
7,11,0,1,0,1,49,4,18,0,0,44,0
7,11,2,0,0,1,55,5,14,0,0,87,1
0,28,2,1,1,2,46,4.115475894,17,1,0,91,1
8,22,0,1,0,1,33,4.779354465,7,1,0,79,1
5,7,0,0,0,1,33,4.41697464,7,0,0,62,1
7,26,0,1,0,1,29,3,3,0,0,61,1
7,4,0,1,0,1,50,3,12,0,0,47,0
0,18,0,1,0,1,31,3,4,0,0,83,0
1,6,0,1,0,1,30,2,2,1,0,58,0
7,14,2,1,0,2,37,1,3,1,0,49,0
0,11,2,1,2,1,48,3,3,0,0,81,0
8,7,0,0,2,1,37,3,11,0,0,79,0
4,11,0,1,0,1,38,4.16544387,3,0,0,74,1
7,8,2,1,1,1,34,3.972317022,9,1,0,47,1
4,4,1,0,2,1,41,3.238110358,4,1,0,69,1
4,5,1,0,0,1,39,3.015578377,9,1,0,61,1
0,25,0,1,0,2,25,3.834938177,2,0,0,91,1
6,11,2,1,0,1,38,4.794277694,4,1,0,97,1
4,21,0,0,2,1,29,5,3,1,0,59,0
7,30,0,1,0,1,32,3,5,1,0,51,0
7,11,0,0,0,1,52,3.925941303,4,1,0,49,1
8,11,2,1,0,1,44,2,12,0,0,80,0
7,11,0,0,2,1,31,5,6,1,0,49,1
8,26,0,1,0,2,53,3,13,0,0,82,0
5,4,2,0,0,1,41,3.062783125,6,0,1,83,1
4,6,0,1,0,1,40,4,5,0,0,60,0
7,11,0,1,2,1,52,2,10,0,0,48,0
4,1,0,0,2,1,30,5,2,1,0,92,1
8,14,2,1,0,1,42,3,14,0,0,82,0
0,18,0,1,0,1,31,4,5,1,0,82,0
4,11,0,1,2,2,33,5,2,0,0,60,0
4,6,0,1,0,1,37,5,4,1,0,62,1
2,6,0,0,2,1,29,2,2,0,0,56,0
5,11,2,1,2,1,47,3,6,0,0,72,0
0,14,0,1,0,1,29,4.501721116,5,0,0,82,1
7,14,0,1,2,2,38,1,3,1,0,44,0
0,15,0,1,0,1,31,3,5,0,0,90,0
1,10,0,1,0,1,32,5,6,1,0,59,1
4,18,0,0,1,1,36,1.135345331,4,1,0,62,1
4,14,1,0,0,3,32,5,2,1,0,60,1
7,31,0,0,2,2,39,1,8,0,0,50,0
4,14,2,1,0,1,38,3.846511864,9,1,0,57,1
4,23,0,1,0,1,29,5,5,0,0,57,0
4,19,0,1,2,2,31,3,4,0,0,62,0
0,11,0,1,0,1,31,3,6,0,0,83,1
4,14,0,1,0,1,39,3,11,0,0,60,0
7,7,0,1,2,1,28,3,7,0,0,49,0
0,21,0,1,2,2,30,4,6,0,0,81,0
4,18,0,0,2,2,30,4,3,0,0,58,0
7,4,0,1,2,1,42,1,10,1,0,52,0
4,31,0,0,2,1,44,3,10,0,0,60,0
6,6,0,0,0,1,41,3.293717623,7,1,0,70,1
4,21,0,1,2,1,30,5,6,1,0,63,0
4,14,0,0,0,1,38,5,7,0,0,69,1
7,15,0,1,0,1,31,5,6,1,0,49,1
7,31,0,1,0,1,30,4.300658054,2,0,0,88,1
4,11,0,0,2,1,43,1,6,0,0,61,0
7,30,0,1,2,1,33,3,3,1,0,52,1
7,14,0,1,0,3,28,1,2,0,0,46,0
5,11,0,0,0,1,30,5,4,0,0,79,1
4,11,2,1,0,1,50,2.521789207,5,1,0,63,1
4,11,2,0,0,1,38,2.163114432,4,1,0,71,1
4,3,0,1,0,2,32,4,6,0,0,56,0
4,31,1,0,0,1,40,5,6,0,0,67,1
7,5,2,1,2,1,44,3,16,0,0,49,0
5,14,0,0,2,1,29,2.811077211,7,0,0,87,1
5,1,2,0,0,1,38,3,2,1,0,69,0
0,0,2,1,0,1,33,5,6,0,0,84,1
8,30,0,0,2,1,35,1,10,0,0,80,0
0,21,0,1,0,2,32,5,2,0,0,83,0
7,29,0,1,0,1,42,3,16,0,0,48,0
4,31,2,0,1,1,52,3.826675225,7,1,0,61,1
5,6,1,0,0,1,35,3.936498011,9,1,0,70,1
5,2,0,0,0,1,31,4.093123983,2,1,0,66,1
7,15,2,1,2,1,42,3,4,1,0,47,0
2,31,0,1,0,1,30,5,5,0,0,51,0
4,30,2,1,2,1,35,3,7,0,0,58,0
5,11,0,0,1,1,39,5,10,0,0,66,1
7,31,0,0,0,1,40,3,12,0,0,49,0
7,17,0,1,0,1,30,1,7,0,0,44,0
4,13,0,0,0,1,59,3.556139781,7,0,0,78,1
7,18,2,1,0,2,43,3,17,0,0,50,0
5,18,0,0,2,1,38,3,7,0,0,74,0
5,4,0,1,0,1,32,5,5,1,0,69,0
7,24,0,0,0,1,27,3,5,0,0,51,0
7,4,0,1,0,1,28,3,2,0,0,50,0
7,3,0,0,1,1,27,5,1,0,0,61,1
7,2,0,1,0,1,43,1,12,0,0,45,0
5,6,0,1,0,1,50,3,16,0,0,70,0
4,14,0,1,2,1,34,3,5,1,0,60,1
4,18,0,1,2,1,33,5,6,1,0,63,0
7,11,0,1,2,1,24,3.974894652,2,0,0,60,1
5,11,2,0,0,3,46,3,15,0,0,64,0
4,25,0,1,0,1,29,1,2,0,0,61,0
5,2,2,0,1,1,40,4.803327795,9,1,0,65,1
4,14,0,1,2,1,45,3,4,1,0,55,0
5,14,0,1,0,1,28,5,3,1,0,71,1
8,31,0,0,2,1,35,4,3,1,0,93,1
8,3,2,1,1,1,38,3.262546168,4,1,0,77,1
0,15,2,1,0,1,34,4.001654232,8,1,0,82,1
